thread_key,target_name,target_status,target_match_kind,target_match_basis,target_candidate_content_count,target_image_id,target_source_ephysFN,target_source_relpath,target_asset,target_asset_sha256
Alfa-13042021-007#thread000,n03530642_1271,resolved,normalized exact,validated repeat-source session,1,6a6821d02293aee8d225eb28,Alfa-13042021-002,2020-CosineEvol/2021-04-13-Alfa-refRepr/n03530642_1271.bmp,/targets/6a6821d02293aee8d225eb28.webp,6d806ab5a5ec60716afc2980fd962c1614a4f6fcbd69d1389457ac9d032f2fb7
Alfa-15042021-004#thread000,Frigatebird-sq,resolved,normalized exact,validated repeat-source session,1,e18c57549b59887a9c1827bc,Alfa-15042021-003,2020-CosineEvol/2021-04-15-Alfa-refRepr/Frigatebird-sq.jpg,/targets/e18c57549b59887a9c1827bc.webp,f7804d8f3e18b7c92c3b969e2d5513dbebcb3ffe7b593a8cf8e437c4abfd6d22
Alfa-15042021-005#thread000,03_n04417672_1074,resolved,normalized exact,validated repeat-source session,1,1cdda1e11aad0dd5c5369c83,Alfa-15042021-003,2020-CosineEvol/2021-04-15-Alfa-refRepr/03_n04417672_1074.bmp,/targets/1cdda1e11aad0dd5c5369c83.webp,25ed5106523c28343256267e6a1656a89f636ca288f323d76ca901c310708060
Beto-18012022-004#thread000,01_18,resolved,normalized exact,validated repeat-source session,1,98efd1e95de8f4f915344073,Beto-18012022-002,2020-CosineEvol/2022-01-18-Beto-refRepr/01_18.bmp,/targets/98efd1e95de8f4f915344073.webp,0642096429b7d5cbb8ba71fa8624fc8b99a9656ee06071273729659f372ac0a4
Beto-18012022-005#thread000,n03450230_4398,resolved,normalized exact,validated repeat-source session,1,9a07a771be72d610c435a081,Beto-18012022-002,2020-CosineEvol/2022-01-18-Beto-refRepr/n03450230_4398.JPEG,/targets/9a07a771be72d610c435a081.webp,9d380723f0cf8f114e8b3b12f5ebb23bedca044b36aa3996251d0dbd657b53ba
Beto-18012022-006#thread000,n03450230_4398,resolved,normalized exact,validated repeat-source session,1,9a07a771be72d610c435a081,Beto-18012022-002,2020-CosineEvol/2022-01-18-Beto-refRepr/n03450230_4398.JPEG,/targets/9a07a771be72d610c435a081.webp,9d380723f0cf8f114e8b3b12f5ebb23bedca044b36aa3996251d0dbd657b53ba
Beto-18012022-007#thread000,n03450230_4398,resolved,normalized exact,validated repeat-source session,1,9a07a771be72d610c435a081,Beto-18012022-002,2020-CosineEvol/2022-01-18-Beto-refRepr/n03450230_4398.JPEG,/targets/9a07a771be72d610c435a081.webp,9d380723f0cf8f114e8b3b12f5ebb23bedca044b36aa3996251d0dbd657b53ba
Beto-19012022-003#thread000,08-cat-cancer-sq,resolved,normalized exact,validated repeat-source session,1,7acf587d8956ffbb565ff7da,Beto-19012022-002,2020-CosineEvol/2022-01-19-Beto-refRepr/08-cat-cancer-sq.jpeg,/targets/7acf587d8956ffbb565ff7da.webp,88579c45071400795b8210254a9201bb2de0e28cee19d9086ca8a45ee0c902cd
Beto-19012022-004#thread000,08-cat-cancer-sq,resolved,normalized exact,validated repeat-source session,1,7acf587d8956ffbb565ff7da,Beto-19012022-002,2020-CosineEvol/2022-01-19-Beto-refRepr/08-cat-cancer-sq.jpeg,/targets/7acf587d8956ffbb565ff7da.webp,88579c45071400795b8210254a9201bb2de0e28cee19d9086ca8a45ee0c902cd
Beto-19012022-005#thread000,n03450230_4398,resolved,normalized exact,validated repeat-source session,1,14ba879cbde738dd1843f1b9,Beto-19012022-002,2020-CosineEvol/2022-01-19-Beto-refRepr/n03450230_4398.JPEG,/targets/14ba879cbde738dd1843f1b9.webp,9d380723f0cf8f114e8b3b12f5ebb23bedca044b36aa3996251d0dbd657b53ba
Beto-19012022-006#thread000,n03450230_4398,resolved,normalized exact,validated repeat-source session,1,14ba879cbde738dd1843f1b9,Beto-19012022-002,2020-CosineEvol/2022-01-19-Beto-refRepr/n03450230_4398.JPEG,/targets/14ba879cbde738dd1843f1b9.webp,9d380723f0cf8f114e8b3b12f5ebb23bedca044b36aa3996251d0dbd657b53ba
Beto-25022022-003#thread000,tree (5),resolved,normalized exact,validated repeat-source session,1,be55968b3993a796f6daf4ee,Beto-25022022-002,2020-CosineEvol/2022-02-25-Beto-refRepr/tree (5).jpg,/targets/be55968b3993a796f6daf4ee.webp,3d065b6846ed7ecac08dff197b1a48a926e999937100f72ab37c14799fd48d3d
Beto-25022022-004#thread000,08-cat-cancer-sq,resolved,normalized exact,validated repeat-source session,1,f5533c2ad215bcef7c3ffb62,Beto-25022022-002,2020-CosineEvol/2022-02-25-Beto-refRepr/08-cat-cancer-sq.jpeg,/targets/f5533c2ad215bcef7c3ffb62.webp,88579c45071400795b8210254a9201bb2de0e28cee19d9086ca8a45ee0c902cd
Beto-25022022-005#thread000,P1030838,resolved,normalized exact,validated repeat-source session,1,22c3e8949a02fb8beb8ed910,Beto-25022022-002,2020-CosineEvol/2022-02-25-Beto-refRepr/P1030838.bmp,/targets/22c3e8949a02fb8beb8ed910.webp,69b02e0d66d8880108429cb9e5ae443f9acc43bc61bc3a3bc1e4be7fc35c8646
Beto-25022022-006#thread000,Capybaras,resolved,normalized exact,validated repeat-source session,1,282ab8ffe5cc8b731289c0d6,Beto-25022022-002,2020-CosineEvol/2022-02-25-Beto-refRepr/Capybaras.jpg,/targets/282ab8ffe5cc8b731289c0d6.webp,95e0d924905ae89a2b551c203e41f0a415a42b2a808d62c658474efe76301d64
